id,english,dwarf,elf,goblin,human,disambig,pos,noun,verb
3433,puppet,ceshfot,arepa,ungu,tustral,,noun,singular,
3434,puppets,ceshfot,arepa,ungu,tustral,,noun,plural,
3435,hegemon,dok,athelo,rogût,sapa,,noun,singular,
3436,hegemons,dok,athelo,rogût,sapa,,noun,plural,
3437,amazement,edos,vole,kangsu,zilta,,noun,singular,
3438,amazements,edos,vole,kangsu,zilta,,noun,plural,
3439,amazing,edos,vole,kangsu,zilta,,adjective,,
3440,amaze,edos,vole,kangsu,zilta,,verb,,present 1st person
3441,amazes,edos,vole,kangsu,zilta,,verb,,present 3rd person
3442,amazed,edos,vole,kangsu,zilta,,verb,,preterite
3443,amazed,edos,vole,kangsu,zilta,,verb,,past participle
3444,amazing,edos,vole,kangsu,zilta,,verb,,present participle
3445,alchemy,anzish,zamesi,esnu,jasmuk,,noun,singular,
3446,alchemies,anzish,zamesi,esnu,jasmuk,,noun,plural,
3447,alchemical,anzish,zamesi,esnu,jasmuk,,adjective,,
3448,insight,lûk,nami,zodod,pabat,,noun,singular,
3449,insights,lûk,nami,zodod,pabat,,noun,plural,
3450,insightful,lûk,nami,zodod,pabat,,adjective,,
3451,union,semor,eva,bongnguk,gil,,noun,singular,
3452,unions,semor,eva,bongnguk,gil,,noun,plural,
3453,unite,semor,eva,bongnguk,gil,,verb,,present 1st person
3454,unites,semor,eva,bongnguk,gil,,verb,,present 3rd person
3455,united,semor,eva,bongnguk,gil,,verb,,preterite
3456,united,semor,eva,bongnguk,gil,,verb,,past participle
3457,uniting,semor,eva,bongnguk,gil,,verb,,present participle
3458,confederacy,mulåsh,yedéle,dukxong,pesor,,noun,singular,
3459,confederacies,mulåsh,yedéle,dukxong,pesor,,noun,plural,
3460,confederate,mulåsh,yedéle,dukxong,pesor,,verb,,present 1st person
3461,confederates,mulåsh,yedéle,dukxong,pesor,,verb,,present 3rd person
3462,confederated,mulåsh,yedéle,dukxong,pesor,,verb,,preterite
3463,confederated,mulåsh,yedéle,dukxong,pesor,,verb,,past participle
3464,confederating,mulåsh,yedéle,dukxong,pesor,,verb,,present participle
3465,speech,âm,lelo,astom,mita,,noun,singular,
3466,speeches,âm,lelo,astom,mita,,noun,plural,
3467,speak,âm,lelo,astom,mita,,verb,,present 1st person
3468,speaks,âm,lelo,astom,mita,,verb,,present 3rd person
3469,spoke,âm,lelo,astom,mita,,verb,,preterite
3470,spoken,âm,lelo,astom,mita,,verb,,past participle
3471,speaking,âm,lelo,astom,mita,,verb,,present participle
3472,speaker,kutam,lere,rumux,mastrosp,,noun,singular,
3473,speakers,kutam,lere,rumux,mastrosp,,noun,plural,
3474,persuasion,eges,amare,otar,thram,,noun,singular,
3475,persuasions,eges,amare,otar,thram,,noun,plural,
3476,persuasive,eges,amare,otar,thram,,adjective,,
3477,persuade,eges,amare,otar,thram,,verb,,present 1st person
3478,persuades,eges,amare,otar,thram,,verb,,present 3rd person
3479,persuaded,eges,amare,otar,thram,,verb,,preterite
3480,persuaded,eges,amare,otar,thram,,verb,,past participle
3481,persuading,eges,amare,otar,thram,,verb,,present participle
3482,persuader,fimshel,theveme,gerthu,thudu,,noun,singular,
3483,persuaders,fimshel,theveme,gerthu,thudu,,noun,plural,
3484,control,egul,ade,ngure,kas,,noun,singular,
3485,controls,egul,ade,ngure,kas,,noun,plural,
3486,control,egul,ade,ngure,kas,,verb,,present 1st person
3487,controls,egul,ade,ngure,kas,,verb,,present 3rd person
3488,controlled,egul,ade,ngure,kas,,verb,,preterite
3489,controlled,egul,ade,ngure,kas,,verb,,past participle
3490,controlling,egul,ade,ngure,kas,,verb,,present participle
3491,controller,tesum,darala,öd,lekla,,noun,singular,
3492,controllers,tesum,darala,öd,lekla,,noun,plural,
3493,worker,cubor,ipana,otut,inan,,noun,singular,
3494,workers,cubor,ipana,otut,inan,,noun,plural,
3495,basis,enseb,esame,kugme,isun,,noun,singular,
3496,bases,enseb,esame,kugme,isun,,noun,plural,
3497,basic,enseb,esame,kugme,isun,,adjective,,
3498,system,idith,eritha,obsår,histek,,noun,singular,
3499,systems,idith,eritha,obsår,histek,,noun,plural,
3500,systemic,idith,eritha,obsår,histek,,adjective,,
3501,ray,edim,iya,zozusp,ile,,noun,singular,
3502,rays,edim,iya,zozusp,ile,,noun,plural,
3503,target,vetek,thòse,sûtu,siti,,noun,singular,
3504,targets,vetek,thòse,sûtu,siti,,noun,plural,
3505,target,vetek,thòse,sûtu,siti,,verb,,present 1st person
3506,targets,vetek,thòse,sûtu,siti,,verb,,present 3rd person
3507,targeted,vetek,thòse,sûtu,siti,,verb,,preterite
3508,targeted,vetek,thòse,sûtu,siti,,verb,,past participle
3509,targeting,vetek,thòse,sûtu,siti,,verb,,present participle
3510,bank,gérig,erani,tuntust,adet,,noun,singular,
3511,banks,gérig,erani,tuntust,adet,,noun,plural,
3512,clean,lecad,reya,ustu,enil,,adjective,,
3513,clean,lecad,reya,ustu,enil,,verb,,present 1st person
3514,cleans,lecad,reya,ustu,enil,,verb,,present 3rd person
3515,cleaned,lecad,reya,ustu,enil,,verb,,preterite
3516,cleaned,lecad,reya,ustu,enil,,verb,,past participle
3517,cleaning,lecad,reya,ustu,enil,,verb,,present participle
3518,drive,sterus,iyilo,dospo,ratheg,,verb,,present 1st person
3519,drives,sterus,iyilo,dospo,ratheg,,verb,,present 3rd person
3520,drove,sterus,iyilo,dospo,ratheg,,verb,,preterite
3521,driven,sterus,iyilo,dospo,ratheg,,verb,,past participle
3522,driving,sterus,iyilo,dospo,ratheg,,verb,,present participle
3523,soar,umåm,aya,aksput,peme,,verb,,present 1st person
3524,soars,umåm,aya,aksput,peme,,verb,,present 3rd person
3525,soared,umåm,aya,aksput,peme,,verb,,preterite
3526,soared,umåm,aya,aksput,peme,,verb,,past participle
3527,soaring,umåm,aya,aksput,peme,,verb,,present participle
3528,glory,anil,kara,omuk,an,,noun,singular,
3529,glories,anil,kara,omuk,an,,noun,plural,
3530,glorious,anil,kara,omuk,an,,adjective,,
3531,glorify,anil,kara,omuk,an,,verb,,present 1st person
3532,glorifies,anil,kara,omuk,an,,verb,,present 3rd person
3533,glorified,anil,kara,omuk,an,,verb,,preterite
3534,glorified,anil,kara,omuk,an,,verb,,past participle
3535,glorifying,anil,kara,omuk,an,,verb,,present participle
3536,dismal,nobang,malatha,ruz,wuthrog,,adjective,,
3537,radiance,atêsh,irami,elo,posa,,noun,singular,
3538,radiances,atêsh,irami,elo,posa,,noun,plural,
3539,radiant,atêsh,irami,elo,posa,,adjective,,
3540,pine,umril,bìlalo,bog,kafit,,noun,singular,
3541,pines,umril,bìlalo,bog,kafit,,noun,plural,
3542,messiah,milol,leyara,mudob,zulur,,noun,singular,
3543,messiahs,milol,leyara,mudob,zulur,,noun,plural,
3544,messianic,milol,leyara,mudob,zulur,,adjective,,
3545,craft,rigòth,nedu,odan,specut,,noun,singular,
3546,crafts,rigòth,nedu,odan,specut,,noun,plural,
3547,craft,rigòth,nedu,odan,specut,,verb,,present 1st person
3548,crafts,rigòth,nedu,odan,specut,,verb,,present 3rd person
3549,crafted,rigòth,nedu,odan,specut,,verb,,preterite
3550,crafted,rigòth,nedu,odan,specut,,verb,,past participle
3551,crafting,rigòth,nedu,odan,specut,,verb,,present participle
3552,labor,èrith,equa,akul,ebe,,noun,singular,
3553,labors,èrith,equa,akul,ebe,,noun,plural,
3554,laborious,èrith,equa,akul,ebe,,adjective,,
3555,labor,èrith,equa,akul,ebe,,verb,,present 1st person
3556,labors,èrith,equa,akul,ebe,,verb,,present 3rd person
3557,labored,èrith,equa,akul,ebe,,verb,,preterite
3558,labored,èrith,equa,akul,ebe,,verb,,past participle
3559,laboring,èrith,equa,akul,ebe,,verb,,present participle
3560,discovery,thazor,overe,omzom,shosá,,noun,singular,
3561,discoveries,thazor,overe,omzom,shosá,,noun,plural,
3562,discover,thazor,overe,omzom,shosá,,verb,,present 1st person
3563,discovers,thazor,overe,omzom,shosá,,verb,,present 3rd person
3564,discovered,thazor,overe,omzom,shosá,,verb,,preterite
3565,discovered,thazor,overe,omzom,shosá,,verb,,past participle
3566,discovering,thazor,overe,omzom,shosá,,verb,,present participle
3567,proliferation,gashcoz,irada,ngasad,eñasm,,noun,singular,
3568,proliferations,gashcoz,irada,ngasad,eñasm,,noun,plural,
3569,proliferate,gashcoz,irada,ngasad,eñasm,,verb,,present 1st person
3570,proliferates,gashcoz,irada,ngasad,eñasm,,verb,,present 3rd person
3571,proliferated,gashcoz,irada,ngasad,eñasm,,verb,,preterite
3572,proliferated,gashcoz,irada,ngasad,eñasm,,verb,,past participle
3573,proliferating,gashcoz,irada,ngasad,eñasm,,verb,,present participle
3574,chunk,bor,niba,osme,gorve,,noun,singular,
3575,chunks,bor,niba,osme,gorve,,noun,plural,
3576,chunky,bor,niba,osme,gorve,,adjective,,
3577,slippery,fôker,senawi,sluro,gole,,adjective,,
3578,slip,fôker,senawi,sluro,gole,,verb,,present 1st person
3579,slips,fôker,senawi,sluro,gole,,verb,,present 3rd person
3580,slipped,fôker,senawi,sluro,gole,,verb,,preterite
3581,slipped,fôker,senawi,sluro,gole,,verb,,past participle
3582,slipping,fôker,senawi,sluro,gole,,verb,,present participle
3583,slide,megid,mabo,oxstrum,ciro,,verb,,present 1st person
3584,slides,megid,mabo,oxstrum,ciro,,verb,,present 3rd person
3585,slid,megid,mabo,oxstrum,ciro,,verb,,preterite
3586,slid,megid,mabo,oxstrum,ciro,,verb,,past participle
3587,sliding,megid,mabo,oxstrum,ciro,,verb,,present participle
3588,single,elik,afate,spez,luh,,adjective,,
3589,pick,tekkud,mubara,otez,tekud,,noun,singular,
3590,picks,tekkud,mubara,otez,tekud,,noun,plural,
3591,tongs,olin,aslefì,smad,ilre,,noun,singular,
3592,tongs,olin,aslefì,smad,ilre,,noun,plural,
3593,permanency,ìrlom,yara,uzur,lar,,noun,singular,
3594,permanencies,ìrlom,yara,uzur,lar,,noun,plural,
3595,permanent,ìrlom,yara,uzur,lar,,adjective,,
3596,responsibility,stemel,lithu,obuz,kammat,,noun,singular,
3597,responsibilities,stemel,lithu,obuz,kammat,,noun,plural,
3598,responsible,stemel,lithu,obuz,kammat,,adjective,,
3599,requirement,inem,enotho,eted,tikes,,noun,singular,
3600,requirements,inem,enotho,eted,tikes,,noun,plural,
3601,require,inem,enotho,eted,tikes,,verb,,present 1st person
3602,requires,inem,enotho,eted,tikes,,verb,,present 3rd person
3603,required,inem,enotho,eted,tikes,,verb,,preterite
3604,required,inem,enotho,eted,tikes,,verb,,past participle
3605,requiring,inem,enotho,eted,tikes,,verb,,present participle
3606,rooter,lulâr,dene,ostosp,duli,,noun,singular,
3607,rooters,lulâr,dene,ostosp,duli,,noun,plural,
3608,root,lulâr,dene,ostosp,duli,,verb,,present 1st person
3609,roots,lulâr,dene,ostosp,duli,,verb,,present 3rd person
3610,rooted,lulâr,dene,ostosp,duli,,verb,,preterite
3611,rooted,lulâr,dene,ostosp,duli,,verb,,past participle
3612,rooting,lulâr,dene,ostosp,duli,,verb,,present participle
3613,blizzard,zolak,ethela,xodu,rismal,,noun,singular,
3614,blizzards,zolak,ethela,xodu,rismal,,noun,plural,
3615,general,gärem,carila,turu,cañar,,noun,singular,
3616,generals,gärem,carila,turu,cañar,,noun,plural,
3617,memory,gidur,nèmetho,tok,arkur,,noun,singular,
3618,memories,gidur,nèmetho,tok,arkur,,noun,plural,
3619,construct,aban,arabe,rom,gisu,,noun,singular,
3620,constructs,aban,arabe,rom,gisu,,noun,plural,
3621,constructive,aban,arabe,rom,gisu,,adjective,,
3622,construct,aban,arabe,rom,gisu,,verb,,present 1st person
3623,constructs,aban,arabe,rom,gisu,,verb,,present 3rd person
3624,constructed,aban,arabe,rom,gisu,,verb,,preterite
3625,constructed,aban,arabe,rom,gisu,,verb,,past participle
3626,constructing,aban,arabe,rom,gisu,,verb,,present participle
3627,lamb,nebïn,milema,tol,shishen,,noun,singular,
3628,lambs,nebïn,milema,tol,shishen,,noun,plural,
3629,toast,zasgim,emafi,tul,mastrod,,noun,singular,
3630,toasts,zasgim,emafi,tul,mastrod,,noun,plural,
3631,gross,thólthod,fitha,spästngux,fawko,,adjective,,
3632,paddle,iden,apa,dak,abe,,noun,singular,
3633,paddles,iden,apa,dak,abe,,noun,plural,
3634,paddle,iden,apa,dak,abe,,verb,,present 1st person
3635,paddles,iden,apa,dak,abe,,verb,,present 3rd person
3636,paddled,iden,apa,dak,abe,,verb,,preterite
3637,paddled,iden,apa,dak,abe,,verb,,past participle
3638,paddling,iden,apa,dak,abe,,verb,,present participle
3639,council,össek,ólomi,spås,ñilun,,noun,singular,
3640,councils,össek,ólomi,spås,ñilun,,noun,plural,
3641,counsellor,amkol,anomi,raslost,nisam,,noun,singular,
3642,counsellors,amkol,anomi,raslost,nisam,,noun,plural,
3643,counsel,amkol,anomi,raslost,nisam,,verb,,present 1st person
3644,counsels,amkol,anomi,raslost,nisam,,verb,,present 3rd person
3645,counselled,amkol,anomi,raslost,nisam,,verb,,preterite
3646,counselled,amkol,anomi,raslost,nisam,,verb,,past participle
3647,counseling,amkol,anomi,raslost,nisam,,verb,,present participle
3648,gnarled,löbor,ruwire,damuz,nupash,,adjective,,
3649,stump,shùrrat,mòfi,spung,sothmu,,noun,singular,
3650,stumps,shùrrat,mòfi,spung,sothmu,,noun,plural,
3651,naughtiness,kêdnath,yeçaÿa,emo,jono,,noun,singular,
3652,naughty,kêdnath,yeçaÿa,emo,jono,,adjective,,
4812,diversion,nomes,athame,xono,irsi,game,noun,singular,
3654,playful,titthal,mithe,lungo,beru,,adjective,,
4814,diversion,birir,mìfo,gorost,sliri,detour,noun,singular,
4813,diversions,nomes,athame,xono,irsi,game,noun,plural,
4815,diversions,birir,mìfo,gorost,sliri,detour,noun,plural,
764,dress,stidest,mimire,gurôr,dether,specific,noun,singular,
766,dress,zag,alame,utgub,upu,general,noun,singular,
765,dresses,stidest,mimire,gurôr,dether,specific,noun,plural,
3661,plays,stisträs,quathari,osles,stathra,,noun,plural,
767,dresses,zag,alame,utgub,upu,general,noun,plural,
7019,drill,monang,weni,oslar,strul,bore,verb,,present 1st person
7026,drill,thosbut,ecefe,ruspzuz,arat,routine,verb,,present 1st person
7021,drilled,monang,weni,oslar,strul,bore,verb,,preterite
7022,drilled,monang,weni,oslar,strul,bore,verb,,past participle
3667,flimsiness,tetist,réne,xosp,ledi,,noun,singular,
3668,flimsy,tetist,réne,xosp,ledi,,adjective,,
3669,greater,riras,lale,osmosm,ing,,adjective,,
3670,greatest,töras,lira,obe,illud,,adjective,,
3671,lesser,gekur,fime,smoxå,ul,,adjective,,
3672,least,gudos,fumi,spub,ugam,,adjective,,
3673,beard,durad,eslome,xubngesp,resmi,,noun,singular,
3674,beards,durad,eslome,xubngesp,resmi,,noun,plural,
3675,bearded,durad,eslome,xubngesp,resmi,,adjective,,
3676,dread,zêvut,luthaÿè,ngebzo,lodraz,,noun,singular,
3677,dreadful,zêvut,luthaÿè,ngebzo,lodraz,,adjective,,
3678,dread,zêvut,luthaÿè,ngebzo,lodraz,,verb,,present 1st person
3679,dreads,zêvut,luthaÿè,ngebzo,lodraz,,verb,,present 3rd person
3680,dreaded,zêvut,luthaÿè,ngebzo,lodraz,,verb,,preterite
3681,dreaded,zêvut,luthaÿè,ngebzo,lodraz,,verb,,past participle
3682,dreading,zêvut,luthaÿè,ngebzo,lodraz,,verb,,present participle
3683,wall,adil,ferale,umâ,olo,,noun,singular,
3684,walls,adil,ferale,umâ,olo,,noun,plural,
3685,walled,adil,ferale,umâ,olo,,adjective,,
3686,wallow,ngesgäs,ònebe,nokut,stramo,,verb,,present 1st person
3687,wallows,ngesgäs,ònebe,nokut,stramo,,verb,,present 3rd person
3688,wallowed,ngesgäs,ònebe,nokut,stramo,,verb,,preterite
3689,wallowed,ngesgäs,ònebe,nokut,stramo,,verb,,past participle
3690,wallowing,ngesgäs,ònebe,nokut,stramo,,verb,,present participle
3691,tax,stettad,fací,angot,luto,,noun,singular,
3692,taxes,stettad,fací,angot,luto,,noun,plural,
3693,tax,stettad,fací,angot,luto,,verb,,present 1st person
3694,taxes,stettad,fací,angot,luto,,verb,,present 3rd person
3695,taxed,stettad,fací,angot,luto,,verb,,preterite
3696,taxed,stettad,fací,angot,luto,,verb,,past participle
3697,taxing,stettad,fací,angot,luto,,verb,,present participle
3698,fragrance,shosêl,camela,mûra,adil,,noun,singular,
3699,fragrances,shosêl,camela,mûra,adil,,noun,plural,
3700,fragrant,shosêl,camela,mûra,adil,,adjective,,
3701,lantern,udil,lepe,snogông,seba,,noun,singular,
3702,lanterns,udil,lepe,snogông,seba,,noun,plural,
3703,torch,litast,eti,lasut,islas,,noun,singular,
3704,torches,litast,eti,lasut,islas,,noun,plural,
3705,water,arel,alu,esp,thomo,,noun,singular,
3706,waters,arel,alu,esp,thomo,,noun,plural,
3707,wine,otin,ipivi,ôlsmu,tista,,noun,singular,
3708,wines,otin,ipivi,ôlsmu,tista,,noun,plural,
3709,line,vel,inupi,tamsmu,kon,,noun,singular,
3710,lines,vel,inupi,tamsmu,kon,,noun,plural,
3711,lined,vel,inupi,tamsmu,kon,,adjective,,
3712,mine,avuz,cèthutha,ngogngo,bora,,noun,singular,
3713,mines,avuz,cèthutha,ngogngo,bora,,noun,plural,
3714,mine,avuz,cèthutha,ngogngo,bora,,verb,,present 1st person
3715,mines,avuz,cèthutha,ngogngo,bora,,verb,,present 3rd person
3716,mined,avuz,cèthutha,ngogngo,bora,,verb,,preterite
3717,mined,avuz,cèthutha,ngogngo,bora,,verb,,past participle
3718,mining,avuz,cèthutha,ngogngo,bora,,verb,,present participle
3719,wax,rithlut,imepe,tungû,ganuh,,noun,singular,
3720,waxes,rithlut,imepe,tungû,ganuh,,noun,plural,
3721,waxy,rithlut,imepe,tungû,ganuh,,adjective,,
3722,wax,rithlut,imepe,tungû,ganuh,,verb,,present 1st person
3723,waxes,rithlut,imepe,tungû,ganuh,,verb,,present 3rd person
3724,waxed,rithlut,imepe,tungû,ganuh,,verb,,preterite
3725,waxed,rithlut,imepe,tungû,ganuh,,verb,,past participle
3726,waxing,rithlut,imepe,tungû,ganuh,,verb,,present participle
3727,shove,tomus,amo,ngasmuk,bathru,,noun,singular,
3728,shoves,tomus,amo,ngasmuk,bathru,,noun,plural,
3729,shove,tomus,amo,ngasmuk,bathru,,verb,,present 1st person
3730,shoves,tomus,amo,ngasmuk,bathru,,verb,,present 3rd person
3731,shoved,tomus,amo,ngasmuk,bathru,,verb,,preterite
3732,shoved,tomus,amo,ngasmuk,bathru,,verb,,past participle
3733,shoving,tomus,amo,ngasmuk,bathru,,verb,,present participle
3734,shovel,dugan,nìÿatha,ospa,shebi,,noun,singular,
3735,shovels,dugan,nìÿatha,ospa,shebi,,noun,plural,
3736,shovel,dugan,nìÿatha,ospa,shebi,,verb,,present 1st person
3737,shovels,dugan,nìÿatha,ospa,shebi,,verb,,present 3rd person
3738,shoveled,dugan,nìÿatha,ospa,shebi,,verb,,preterite
3739,shoveled,dugan,nìÿatha,ospa,shebi,,verb,,past participle
3740,shoveling,dugan,nìÿatha,ospa,shebi,,verb,,present participle
3741,melt,kalal,cane,luzo,mákath,,verb,,present 1st person
3742,melts,kalal,cane,luzo,mákath,,verb,,present 3rd person
3743,melted,kalal,cane,luzo,mákath,,verb,,preterite
3744,melted,kalal,cane,luzo,mákath,,verb,,past participle
3745,melting,kalal,cane,luzo,mákath,,verb,,present participle
3746,wrack,shoshin,yithe,tamo,upan,,noun,singular,
3747,wrack,shoshin,yithe,tamo,upan,,verb,,present 1st person
3748,wracks,shoshin,yithe,tamo,upan,,verb,,present 3rd person
3749,wracked,shoshin,yithe,tamo,upan,,verb,,preterite
3750,wracked,shoshin,yithe,tamo,upan,,verb,,past participle
3751,wracking,shoshin,yithe,tamo,upan,,verb,,plural
3752,glitter,eser,fecici,dadu,pena,,noun,singular,
3753,glittery,eser,fecici,dadu,pena,,adjective,,
3754,glitter,eser,fecici,dadu,pena,,verb,,present 1st person
3755,glitters,eser,fecici,dadu,pena,,verb,,present 3rd person
3756,glittered,eser,fecici,dadu,pena,,verb,,preterite
3757,glittered,eser,fecici,dadu,pena,,verb,,past participle
3758,glittering,eser,fecici,dadu,pena,,verb,,present participle
3759,spark,îbmat,niweni,olsmo,ustrá,,noun,singular,
3760,sparks,îbmat,niweni,olsmo,ustrá,,noun,plural,
3761,sparkle,kebul,epeve,smaz,tiquo,,noun,singular,
3762,sparkles,kebul,epeve,smaz,tiquo,,noun,plural,
3763,sparkle,kebul,epeve,smaz,tiquo,,verb,,present 1st person
3764,sparkles,kebul,epeve,smaz,tiquo,,verb,,present 3rd person
3765,sparkled,kebul,epeve,smaz,tiquo,,verb,,preterite
3766,sparkled,kebul,epeve,smaz,tiquo,,verb,,past participle
3767,sparkling,kebul,epeve,smaz,tiquo,,verb,,present participle
3768,flash,asiz,cayi,lesmnast,ejas,,noun,singular,
3769,flashes,asiz,cayi,lesmnast,ejas,,noun,plural,
3770,flash,asiz,cayi,lesmnast,ejas,,verb,,present 1st person
3771,flashes,asiz,cayi,lesmnast,ejas,,verb,,present 3rd person
3772,flashed,asiz,cayi,lesmnast,ejas,,verb,,preterite
3773,flashed,asiz,cayi,lesmnast,ejas,,verb,,past participle
3774,flashing,asiz,cayi,lesmnast,ejas,,verb,,present participle
3775,gleam,almôsh,eÿi,unlo,lecit,,noun,singular,
3776,gleams,almôsh,eÿi,unlo,lecit,,noun,plural,
3777,gleam,almôsh,eÿi,unlo,lecit,,verb,,present 1st person
3778,gleams,almôsh,eÿi,unlo,lecit,,verb,,present 3rd person
3779,gleamed,almôsh,eÿi,unlo,lecit,,verb,,preterite
3780,gleamed,almôsh,eÿi,unlo,lecit,,verb,,past participle
3781,gleaming,almôsh,eÿi,unlo,lecit,,verb,,present participle
3782,run,rur,ive,duba,baze,,verb,,present 1st person
3783,runs,rur,ive,duba,baze,,verb,,present 3rd person
3784,ran,rur,ive,duba,baze,,verb,,preterite
3785,run,rur,ive,duba,baze,,verb,,past participle
3786,running,rur,ive,duba,baze,,verb,,present participle
3787,dash,rutod,varano,umkost,atra,,verb,,present 1st person
3788,dashes,rutod,varano,umkost,atra,,verb,,present 3rd person
3789,dashed,rutod,varano,umkost,atra,,verb,,preterite
3790,dashed,rutod,varano,umkost,atra,,verb,,past participle
3791,dashing,rutod,varano,umkost,atra,,verb,,present participle
3792,savant,vumom,mequema,strusnu,enthep,,noun,singular,
3793,savants,vumom,mequema,strusnu,enthep,,noun,plural,
3794,roar,orrun,omo,oza,budo,,noun,singular,
3795,roars,orrun,omo,oza,budo,,noun,plural,
3796,roar,orrun,omo,oza,budo,,verb,,present 1st person
3797,roars,orrun,omo,oza,budo,,verb,,present 3rd person
3798,roared,orrun,omo,oza,budo,,verb,,preterite
3799,roared,orrun,omo,oza,budo,,verb,,past participle
3800,roaring,orrun,omo,oza,budo,,verb,,present participle
3801,yell,taron,vafe,osmoz,alá,,noun,singular,
3802,yells,taron,vafe,osmoz,alá,,noun,plural,
3803,yell,taron,vafe,osmoz,alá,,verb,,present 1st person
3804,yells,taron,vafe,osmoz,alá,,verb,,present 3rd person
3805,yelled,taron,vafe,osmoz,alá,,verb,,preterite
3806,yelled,taron,vafe,osmoz,alá,,verb,,past participle
3807,yelling,taron,vafe,osmoz,alá,,verb,,present participle
3808,echo,sárek,sanene,rusmo,simo,,noun,singular,
3809,echoes,sárek,sanene,rusmo,simo,,noun,plural,
3810,echo,sárek,sanene,rusmo,simo,,verb,,present 1st person
3811,echoes,sárek,sanene,rusmo,simo,,verb,,present 3rd person
3812,echoed,sárek,sanene,rusmo,simo,,verb,,preterite
3813,echoed,sárek,sanene,rusmo,simo,,verb,,past participle
3814,echoing,sárek,sanene,rusmo,simo,,verb,,present participle
3815,hollow,ugosh,omethu,esnust,usu,,noun,singular,
3816,hollows,ugosh,omethu,esnust,usu,,noun,plural,
3817,hollow,ugosh,omethu,esnust,usu,,adjective,,
3818,full,esmul,lema,mus,enem,,adjective,,
3819,fill,esmul,lema,mus,enem,,verb,,present 1st person
3820,fills,esmul,lema,mus,enem,,verb,,present 3rd person
3821,filled,esmul,lema,mus,enem,,verb,,preterite
3822,filled,esmul,lema,mus,enem,,verb,,past participle
3823,filling,esmul,lema,mus,enem,,verb,,present participle
3824,emptiness,kisat,cobesi,atob,esh,,noun,singular,
3825,empty,kisat,cobesi,atob,esh,,adjective,,
3826,empty,kisat,cobesi,atob,esh,,verb,,present 1st person
3827,empties,kisat,cobesi,atob,esh,,verb,,present 3rd person
3828,emptied,kisat,cobesi,atob,esh,,verb,,preterite
3829,emptied,kisat,cobesi,atob,esh,,verb,,past participle
3830,emptying,kisat,cobesi,atob,esh,,verb,,present participle
3831,word,il,elina,sotuk,pebu,,noun,singular,
3832,words,il,elina,sotuk,pebu,,noun,plural,
3833,wordy,il,elina,sotuk,pebu,,adjective,,
3834,intensity,rinul,fava,ukust,stram,,noun,singular,
3835,intense,rinul,fava,ukust,stram,,adjective,,
3836,sadness,mukar,íla,snelo,saquel,,noun,singular,
3837,sadnesses,mukar,íla,snelo,saquel,,noun,plural,
3838,sad,mukar,íla,snelo,saquel,,adjective,,
3839,gladness,amkin,ÿithi,kose,dacap,,noun,singular,
3840,glad,amkin,ÿithi,kose,dacap,,adjective,,
3841,tragedy,mosos,nóriwa,nozbäb,smonguh,,noun,singular,
3842,tragedies,mosos,nóriwa,nozbäb,smonguh,,noun,plural,
3843,tragic,mosos,nóriwa,nozbäb,smonguh,,adjective,,
3844,bell,rith,ere,mube,komo,,noun,singular,
3845,bells,rith,ere,mube,komo,,noun,plural,
3846,belly,tòm,feta,ozsta,nitho,,noun,singular,
3847,bellies,tòm,feta,ozsta,nitho,,noun,plural,
3848,tummy,bugud,miga,sluso,uram,,noun,singular,
3849,tummies,bugud,miga,sluso,uram,,noun,plural,
3850,shock,otung,riqui,malduz,osplek,,noun,singular,
3851,shocks,otung,riqui,malduz,osplek,,noun,plural,
3852,shock,otung,riqui,malduz,osplek,,verb,,present 1st person
3853,shocks,otung,riqui,malduz,osplek,,verb,,present 3rd person
3854,shocked,otung,riqui,malduz,osplek,,verb,,preterite
3855,shocked,otung,riqui,malduz,osplek,,verb,,past participle
3856,shocking,otung,riqui,malduz,osplek,,verb,,present participle
3857,ponder,zoz,meco,uztob,atem,,verb,,present 1st person
3858,ponders,zoz,meco,uztob,atem,,verb,,present 3rd person
3859,pondered,zoz,meco,uztob,atem,,verb,,preterite
3860,pondered,zoz,meco,uztob,atem,,verb,,past participle
3861,pondering,zoz,meco,uztob,atem,,verb,,present participle
3862,ponderous,umshad,cethéda,zår,worna,,adjective,,
3863,heaven,dasël,pacila,ospöz,caspa,,noun,singular,
3864,heavens,dasël,pacila,ospöz,caspa,,noun,plural,
3865,heavenly,dasël,pacila,ospöz,caspa,,adjective,,
3866,round,lames,thanemo,onla,toke,,adjective,,
3867,rounded,lavath,thinere,nasp,warul,,adjective,,
3868,unspeakable,ozur,nini,rosm,bareng,,adjective,,
3869,unthinkable,zotthol,nife,ulog,odo,,adjective,,
3870,unnameable,nan,nica,xaslod,osha,,adjective,,
3871,calamity,rorash,carena,okust,kadel,,noun,singular,
3872,calamities,rorash,carena,okust,kadel,,noun,plural,
3873,calamitous,rorash,carena,okust,kadel,,adjective,,
3874,cyclopean,nguteg,sethere,ötstux,boldol,,adjective,,
3875,tame,ôsust,bibawe,ab,ega,,adjective,,
3876,tame,ôsust,bibawe,ab,ega,,verb,,present 1st person
3877,tames,ôsust,bibawe,ab,ega,,verb,,present 3rd person
3878,tamed,ôsust,bibawe,ab,ega,,verb,,preterite
3879,tamed,ôsust,bibawe,ab,ega,,verb,,past participle
